Year,Revenue,Month,Return (%),CPI,Interest Rate
2020,8042,1,0.12%,257.97,1365.0
2020,8042,1,0.12%,257.97,688.0
2020,8042,1,0.12%,257.97,651.0
2020,8042,1,0.12%,257.97,865.0
2020,8042,2,-18.92%,258.68,1365.0
2020,8042,2,-18.92%,258.68,688.0
2020,8042,2,-18.92%,258.68,651.0
2020,8042,2,-18.92%,258.68,865.0
2020,8042,3,4.32%,258.12,1365.0
2020,8042,3,4.32%,258.12,688.0
2020,8042,3,4.32%,258.12,651.0
2020,8042,3,4.32%,258.12,865.0
2020,8042,4,5.89%,256.39,1365.0
2020,8042,4,5.89%,256.39,688.0
2020,8042,4,5.89%,256.39,651.0
2020,8042,4,5.89%,256.39,865.0
2020,8042,5,6.51%,256.39,1365.0
2020,8042,5,6.51%,256.39,688.0
2020,8042,5,6.51%,256.39,651.0
2020,8042,5,6.51%,256.39,865.0
2020,8042,6,3.48%,257.8,1365.0
2020,8042,6,3.48%,257.8,688.0
2020,8042,6,3.48%,257.8,651.0
2020,8042,6,3.48%,257.8,865.0
2020,8042,7,5.89%,259.1,1365.0
2020,8042,7,5.89%,259.1,688.0
2020,8042,7,5.89%,259.1,651.0
2020,8042,7,5.89%,259.1,865.0
2020,8042,8,-0.63%,259.92,1365.0
2020,8042,8,-0.63%,259.92,688.0
2020,8042,8,-0.63%,259.92,651.0
2020,8042,8,-0.63%,259.92,865.0
2020,8042,9,1.73%,260.28,1365.0
2020,8042,9,1.73%,260.28,688.0
2020,8042,9,1.73%,260.28,651.0
2020,8042,9,1.73%,260.28,865.0
2020,8042,10,3.95%,260.39,1365.0
2020,8042,10,3.95%,260.39,688.0
2020,8042,10,3.95%,260.39,651.0
2020,8042,10,3.95%,260.39,865.0
2020,8042,11,4.26%,260.23,1365.0
2020,8042,11,4.26%,260.23,688.0
2020,8042,11,4.26%,260.23,651.0
2020,8042,11,4.26%,260.23,865.0
2020,8042,12,2.80%,260.47,1365.0
2020,8042,12,2.80%,260.47,688.0
2020,8042,12,2.80%,260.47,651.0
2020,8042,12,2.80%,260.47,865.0
2020,8042,1,0.12%,257.97,1365.0
2020,8042,1,0.12%,257.97,688.0
2020,8042,1,0.12%,257.97,651.0
2020,8042,1,0.12%,257.97,865.0
2020,8042,2,-18.92%,258.68,1365.0
2020,8042,2,-18.92%,258.68,688.0
2020,8042,2,-18.92%,258.68,651.0
2020,8042,2,-18.92%,258.68,865.0
2020,8042,3,4.32%,258.12,1365.0
2020,8042,3,4.32%,258.12,688.0
2020,8042,3,4.32%,258.12,651.0
2020,8042,3,4.32%,258.12,865.0
2020,8042,4,5.89%,256.39,1365.0
2020,8042,4,5.89%,256.39,688.0
2020,8042,4,5.89%,256.39,651.0
2020,8042,4,5.89%,256.39,865.0
2020,8042,5,6.51%,256.39,1365.0
2020,8042,5,6.51%,256.39,688.0
2020,8042,5,6.51%,256.39,651.0
2020,8042,5,6.51%,256.39,865.0
2020,8042,6,3.48%,257.8,1365.0
2020,8042,6,3.48%,257.8,688.0
2020,8042,6,3.48%,257.8,651.0
2020,8042,6,3.48%,257.8,865.0
2020,8042,7,5.89%,259.1,1365.0
2020,8042,7,5.89%,259.1,688.0
2020,8042,7,5.89%,259.1,651.0
2020,8042,7,5.89%,259.1,865.0
2020,8042,8,-0.63%,259.92,1365.0
2020,8042,8,-0.63%,259.92,688.0
2020,8042,8,-0.63%,259.92,651.0
2020,8042,8,-0.63%,259.92,865.0
2020,8042,9,1.73%,260.28,1365.0
2020,8042,9,1.73%,260.28,688.0
2020,8042,9,1.73%,260.28,651.0
2020,8042,9,1.73%,260.28,865.0
2020,8042,10,3.95%,260.39,1365.0
2020,8042,10,3.95%,260.39,688.0
2020,8042,10,3.95%,260.39,651.0
2020,8042,10,3.95%,260.39,865.0
2020,8042,11,4.26%,260.23,1365.0
2020,8042,11,4.26%,260.23,688.0
2020,8042,11,4.26%,260.23,651.0
2020,8042,11,4.26%,260.23,865.0
2020,8042,12,2.80%,260.47,1365.0
2020,8042,12,2.80%,260.47,688.0
2020,8042,12,2.80%,260.47,651.0
2020,8042,12,2.80%,260.47,865.0
2020,8042,1,0.12%,257.97,1365.0
2020,8042,1,0.12%,257.97,688.0
2020,8042,1,0.12%,257.97,651.0
2020,8042,1,0.12%,257.97,865.0
2020,8042,2,-18.92%,258.68,1365.0
2020,8042,2,-18.92%,258.68,688.0
2020,8042,2,-18.92%,258.68,651.0
2020,8042,2,-18.92%,258.68,865.0
2020,8042,3,4.32%,258.12,1365.0
2020,8042,3,4.32%,258.12,688.0
2020,8042,3,4.32%,258.12,651.0
2020,8042,3,4.32%,258.12,865.0
2020,8042,4,5.89%,256.39,1365.0
2020,8042,4,5.89%,256.39,688.0
2020,8042,4,5.89%,256.39,651.0
2020,8042,4,5.89%,256.39,865.0
2020,8042,5,6.51%,256.39,1365.0
2020,8042,5,6.51%,256.39,688.0
2020,8042,5,6.51%,256.39,651.0
2020,8042,5,6.51%,256.39,865.0
2020,8042,6,3.48%,257.8,1365.0
2020,8042,6,3.48%,257.8,688.0
2020,8042,6,3.48%,257.8,651.0
2020,8042,6,3.48%,257.8,865.0
2020,8042,7,5.89%,259.1,1365.0
2020,8042,7,5.89%,259.1,688.0
2020,8042,7,5.89%,259.1,651.0
2020,8042,7,5.89%,259.1,865.0
2020,8042,8,-0.63%,259.92,1365.0
2020,8042,8,-0.63%,259.92,688.0
2020,8042,8,-0.63%,259.92,651.0
2020,8042,8,-0.63%,259.92,865.0
2020,8042,9,1.73%,260.28,1365.0
2020,8042,9,1.73%,260.28,688.0
2020,8042,9,1.73%,260.28,651.0
2020,8042,9,1.73%,260.28,865.0
2020,8042,10,3.95%,260.39,1365.0
2020,8042,10,3.95%,260.39,688.0
2020,8042,10,3.95%,260.39,651.0
2020,8042,10,3.95%,260.39,865.0
2020,8042,11,4.26%,260.23,1365.0
2020,8042,11,4.26%,260.23,688.0
2020,8042,11,4.26%,260.23,651.0
2020,8042,11,4.26%,260.23,865.0
2020,8042,12,2.80%,260.47,1365.0
2020,8042,12,2.80%,260.47,688.0
2020,8042,12,2.80%,260.47,651.0
2020,8042,12,2.80%,260.47,865.0
2020,8042,1,0.12%,257.97,1365.0
2020,8042,1,0.12%,257.97,688.0
2020,8042,1,0.12%,257.97,651.0
2020,8042,1,0.12%,257.97,865.0
2020,8042,2,-18.92%,258.68,1365.0
2020,8042,2,-18.92%,258.68,688.0
2020,8042,2,-18.92%,258.68,651.0
2020,8042,2,-18.92%,258.68,865.0
2020,8042,3,4.32%,258.12,1365.0
2020,8042,3,4.32%,258.12,688.0
2020,8042,3,4.32%,258.12,651.0
2020,8042,3,4.32%,258.12,865.0
2020,8042,4,5.89%,256.39,1365.0
2020,8042,4,5.89%,256.39,688.0
2020,8042,4,5.89%,256.39,651.0
2020,8042,4,5.89%,256.39,865.0
2020,8042,5,6.51%,256.39,1365.0
2020,8042,5,6.51%,256.39,688.0
2020,8042,5,6.51%,256.39,651.0
2020,8042,5,6.51%,256.39,865.0
2020,8042,6,3.48%,257.8,1365.0
2020,8042,6,3.48%,257.8,688.0
2020,8042,6,3.48%,257.8,651.0
2020,8042,6,3.48%,257.8,865.0
2020,8042,7,5.89%,259.1,1365.0
2020,8042,7,5.89%,259.1,688.0
